SpT,Teff,logT,BCv,logL,Mbol,Rsun,Mv,BV,BtVt,GV,BpRp,GRp,M_G,by,UB,VRc,VI,VK,JH,HK,M_J,M_K,KW1,W1W2,W1W3,W1W4,gr,iz,zY,Msun
L5V,1710,3.233,-7.87,-4.2,15.23,0.0909,24.220000000000006,2.3374999999999964,2.4255000000000004,-5.9,6.566666666666668,1.71,18.5,1.3127692307692316,1.3,15.736666666666665,6.28,11.1,1.02,0.648,13.46,11.87,0.68,0.32,-0.011937500000000045,0.189625,2.430000000000001,2.33,0.97,0.0715
L6V,1550,3.19,-8.21,-4.38,15.7,0.0891,26.140000000000008,2.3774999999999955,2.485500000000001,-6.600000000000001,6.993333333333336,1.74,19.25,1.3472307692307701,1.3,19.04333333333333,6.99,11.7,1.06,0.654,13.89,12.2,0.76,0.36,-0.010937500000000048,0.199625,2.510000000000001,2.51,1.0,0.06989999999999999
L7V,1530,3.185,-8.2525,-4.41,15.77,0.0886,26.38000000000001,2.3824999999999954,2.4930000000000008,-6.687500000000002,7.046666666666669,2.11,19.3,1.3515384615384622,1.3,19.456666666666663,7.07875,11.774999999999999,1.13,0.645,14.31,12.55,0.84,0.41,-0.010812500000000048,0.200875,2.5200000000000014,2.71,1.04,0.0697
L8V,1420,3.152,-8.48625,-4.55,16.12,0.0875,27.700000000000014,2.409999999999995,2.534250000000001,-7.168750000000001,7.3400000000000025,1.87,20.0,1.3752307692307701,1.3,21.729999999999997,7.5668750000000005,12.187499999999998,1.16,0.625,14.65,12.74,0.845,0.48,-0.01012500000000005,0.20775,2.575000000000001,2.93,1.09,0.0686
L9V,1370,3.137,-8.5925,-4.61,16.27,0.0877,28.300000000000015,2.4224999999999945,2.553000000000001,-7.387500000000001,7.473333333333336,1.7609090909090912,20.318181818181817,1.386000000000001,1.3,22.76333333333333,7.78875,12.374999999999998,1.18,0.59,14.82,12.93,0.82,0.57,-0.00981250000000005,0.210875,2.6000000000000014,3.15,1.16,0.0681
T0V,1255,3.099,-8.836875,-4.66,16.39,0.098,29.680000000000017,2.4512499999999937,2.5961250000000007,-7.890625000000002,7.780000000000003,1.5100000000000005,21.049999999999997,1.4107692307692319,1.3,25.139999999999993,8.2990625,12.806249999999999,1.02,0.54,14.81,13.12,0.7,0.68,-0.009093750000000053,0.2180625,2.6575000000000015,3.36,1.23,0.06695
T1V,1240,3.093,-8.86875,-4.69,16.47,0.1,29.860000000000017,2.454999999999994,2.601750000000001,-7.956250000000002,7.820000000000003,1.4772727272727277,21.145454545454545,1.414000000000001,1.3,25.449999999999996,8.365625,12.862499999999999,1.02,0.45,14.63,13.29,0.58,0.82,-0.009000000000000053,0.219,2.665000000000001,3.55,1.33,0.06679999999999998
T2V,1220,3.086,-8.911249999999999,-4.73,16.57,0.1,30.10000000000002,2.4599999999999937,2.6092500000000007,-8.043750000000003,7.873333333333337,1.433636363636364,21.27272727272727,1.4183076923076934,1.3,25.86333333333333,8.454375,12.937499999999998,0.86,0.27,14.52,13.45,0.53,0.99,-0.008875000000000053,0.22025,2.6750000000000016,3.7,1.43,0.06659999999999999
T3V,1200,3.079,-8.95375,-4.77,16.67,0.102,30.340000000000018,2.4649999999999936,2.616750000000001,-8.131250000000001,7.926666666666669,1.3900000000000006,21.4,1.4226153846153857,1.3,26.276666666666664,8.543125,13.0125,0.68,0.08,14.45,13.52,0.4800000000000001,1.19,-0.008750000000000053,0.2215,2.6850000000000014,3.82,1.55,0.06639999999999999
T4V,1180,3.072,-8.99625,-4.84,16.84,0.101,30.58000000000002,2.4699999999999935,2.624250000000001,-8.218750000000002,7.980000000000003,1.346363636363637,21.527272727272724,1.426923076923078,1.3,26.689999999999998,8.631875,13.087499999999999,0.35,-0.19,14.55,14.2,0.43000000000000016,1.43,-0.008625000000000053,0.22275,2.695000000000001,3.9,1.68,0.0662
