GroupID,object,spt,npoints,median_mjd,pseudomag,ra_mean,dec_mean,ra_median,dec_median,ra_std,dec_std,ra_skew,dec_skew,ra_kurtosis,dec_kurtosis,semi_major_axis,semi_minor_axis,position_angle,bbox_width,bbox_height,bbox_diagonal,spatial_density,time_span,min_mjd,max_mjd,bbox,EC,CP,LP,I2,P3,HAM,EGG,SCI,CAL
965,HD90722;;;;;;;;;;,G5;;;;;;;;;;,21,55710.03421828704,7.615815436620631,157.0588022042857,-16.28841095238095,157.05830194,-16.28804,7.701453758604296,6.756480774573503,0.5433158406926036,-1.5609740510160042,-1.0284945866270963,3.133243356028406,21.12994740450846,13.503895571262905,54.02666556754575,29.447999999997876,22.54698000000417,37.08842152371091,0.03162824619495594,2549808.47549375,53059.20018179398,60040.19532346065,"[(-16.29446, 157.05628), (-16.29446, 157.06254305), (-16.28628, 157.06254305), (-16.28628, 157.05628)]",21,0,0,0,21,21,0,21,0
966,CD-23 9305;HIP51263;;;;;;;;;,;K5;;;;;;;;;,8,60004.11195320602,9.998114513793025,157.07090062125,-24.26494,157.070863465,-24.264110000000002,4.760375116716677,9.865426382790192,0.07911850303698403,-0.8762675224181836,-0.8725934957494408,-0.6196624432489699,24.714903902622407,10.393290556888916,-166.41458257729772,28.04399999999987,14.051015999996253,31.367132266628126,0.020302162530803452,2536627.9585066754,53059.20310034722,60004.11195320602,"[(-24.26994, 157.06914694), (-24.26994, 157.07305), (-24.26215, 157.07305), (-24.26215, 157.06914694)]",8,0,0,0,8,8,0,8,0
967,HD84627B;;;;;;;;;;,F8;;;;;;;;;;,23,54143.270031354165,7.33269639215069,146.2661337526087,-49.486322173913045,146.26575611,-49.48594,7.139614650050395,5.231418994468503,0.3750485515445881,-1.2991788095151657,-0.745156738910921,1.4180320512126414,20.167590465882437,7.912917951225672,57.13323102742371,21.81600000001822,26.481995999961327,34.310843302704804,0.039810899974334006,2549776.657310704,53059.24307539352,60040.15110362269,"[(-49.49047, 146.262705), (-49.49047, 146.27006111), (-49.48441, 146.27006111), (-49.48441, 146.262705)]",23,0,0,0,23,23,0,23,0
968,HD86652;;;;;;;;;;,G3;;;;;;;;;;,11,54902.28641439815,7.351902123550415,149.7837578518182,-33.51720181818182,149.78359111,-33.51655,9.169122324513708,7.243354200422293,0.08432989862718614,-1.1652554345471724,-0.8776574430498472,0.18349225495438182,22.966187791609958,17.04579928050804,71.53404931528274,22.643999999999664,28.35000000004584,36.28323629450085,0.01713509338778925,2549764.4305458143,53059.27953394676,60040.154087118055,"[(-33.5217, 149.78007), (-33.5217, 149.787945), (-33.51541, 149.787945), (-33.51541, 149.78007)]",11,0,0,0,11,11,0,11,0
969,HD89749;;;;;;;;;;,G8;;;;;;;;;;,8,55315.12494854166,8.417331287631074,155.241827775,-28.74010375,155.24213499500001,-28.74052,5.859621259209951,9.213567619860013,0.14974651953317109,0.7156264833514369,-1.2384873414494477,-0.5384849248300156,23.77841974376433,12.200969924857183,-158.32189339777568,28.080000000011296,15.674003999913566,32.1583706271002,0.018176611726125714,1081807.3391987083,53059.29297347222,56021.12004862269,"[(-28.7432, 155.24001111), (-28.7432, 155.244365), (-28.7354, 155.244365), (-28.7354, 155.24001111)]",8,0,0,0,8,8,0,8,0
970,HD89965;;;;;;;;;;,K3;;;;;;;;;;,23,54541.26011362269,8.724841701767634,155.60049492347827,-28.84669260869565,155.60102305,-28.84616,5.920999305689784,5.153103581506796,-0.6826125487236043,-1.201938127066512,-0.5307193701119339,0.4777023012969046,17.07391723629629,8.80926169582678,51.88896642247009,18.46800000000428,21.26498399995853,28.16498834579291,0.05856564219516899,1208574.1535245555,53059.296948981486,56368.1926465162,"[(-28.8502, 155.59725111), (-28.8502, 155.60315805), (-28.84507, 155.60315805), (-28.84507, 155.59725111)]",23,0,0,0,23,23,0,23,0
971,HIP63995;HD113513;;;;;;;;;,G2;G5;;;;;;;;;,14,53506.17980493056,9.36542075059278,196.71045285214285,-77.86945142857142,196.71082055,-77.869,17.89493758931095,8.18730009839511,-0.22230378799521602,-0.05857666654547479,-1.0353407313266605,-1.2507401948305166,43.87058042412982,19.88594660910986,86.3678177893425,24.5519999999658,59.24602799995,64.13183716196801,0.009624582970441015,2032934.0534796615,53059.338081678245,58625.20818018519,"[(-77.87284, 196.70176888), (-77.87284, 196.71822611), (-77.86602, 196.71822611), (-77.86602, 196.70176888)]",14,0,0,0,14,14,0,14,0
972,HD114561;;;;;;;;;;,G3;;;;;;;;;;,12,53508.16125855324,7.553444263770494,197.94010906999998,-35.61861416666667,197.94038958,-35.61834,8.498222161696633,4.723437923609199,-1.0366499412597094,-0.42388930628906807,1.1651748126289112,-0.6673067394395717,21.24678389636629,10.719480986423681,103.65591631542381,15.587999999985414,33.216984000068805,36.69269368771353,0.02317558212758748,995535.0411457634,53059.34508061343,55784.971476631945,"[(-35.62083, 197.93433), (-35.62083, 197.94355694), (-35.6165, 197.94355694), (-35.6165, 197.93433)]",12,0,0,0,12,12,0,12,0
973,HD115773;;;;;;;;;;,F6;;;;;;;;;;,26,57143.18754951389,6.580787889012421,199.99199033730767,-41.19117961538461,199.99171847000002,-41.19115,8.9324034886128,5.443890249273193,0.37747546268542326,-1.0734171320760593,-0.6772147799525419,1.0947082595649427,21.88574699321766,13.288036099107735,86.74157746408349,22.032000000010044,34.48501199998191,40.922183185154466,0.0342207121835373,2129774.8759663696,53059.35159041667,58890.35741099537,"[(-41.19529, 199.98801694), (-41.19529, 199.99759611), (-41.18917, 199.99759611), (-41.18917, 199.98801694)]",26,0,0,0,26,26,0,26,0
974,HD91585;;;;;;;;;;,K2;;;;;;;;;;,2,53060.23355153935,9.230643504227004,158.48568388,-29.53387,158.48568388,-29.53387,6.974901289631363,2.545584412265639,-3.111867945053021e-11,0.0,-1.9999999999999998,-2.0,,,,3.59999999999161,9.863999999959105,10.500404563593387,0.05632152834135782,34267.71767601567,53060.23355153935,53154.05344935185,"[(-29.53437, 158.48431388), (-29.53437, 158.48705388), (-29.53337, 158.48705388), (-29.53337, 158.48431388)]",2,0,0,0,2,2,0,2,0
