HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
A_HR2791;C_HR2791;HR2791;B_HR2791;;;;;;;,23
SMC-CEP-1977;;;;;;;;;;,23
NGC3532NO221;NGC3532NO.221;;;;;;;;;,23
HD806276;;;;;;;;;;,23
HD916731;;;;;;;;;;,23
HD169178;;;;;;;;;;,23
NG0524-3056-18554;HATS598-015;;;;;;;;;,23
VW_HYI;;;;;;;;;;,23
HD206429;;;;;;;;;;,23
TIC128703021;HD 128582;;;;;;;;;,23
TIC179582003;;;;;;;;;;,23
TOI-1036;;;;;;;;;;,23
J0825-67;;;;;;;;;;,23
TIC224279805;UCAC2 14533071;UCAC2  14533071;;;;;;;;,23
HD19034;;;;;;;;;;,22
HD34688;;;;;;;;;;,22
HD44420;;;;;;;;;;,22
HD25061;;;;;;;;;;,22
HD29985;;;;;;;;;;,22
GL105B;;;;;;;;;;,22
HD50590;;;;;;;;;;,22
HD70889;;;;;;;;;;,22
HD63754;;;;;;;;;;,22
HD66838;;;;;;;;;;,22
HD112646;;;;;;;;;;,22
HIP61872;;;;;;;;;;,22
HD128674;;;;;;;;;;,22
HD192031;BD-155584B;;;;;;;;;,22
HD176535;;;;;;;;;;,22
HD209458;;;;;;;;;;,22
HD213398;;;;;;;;;;,22
HD197823;;;;;;;;;;,22
HD84075;;;;;;;;;;,22
HD-50304;;;;;;;;;;,22
HD198075;;;;;;;;;;,22
HV2405;;;;;;;;;;,22
IC2714NO53;IC2714NO.53;;;;;;;;;,22
HD148577;;;;;;;;;;,22
HIP79361;;;;;;;;;;,22
NGC2360NO66;;;;;;;;;;,22
HD224230;;;;;;;;;;,22
HD37306;;;;;;;;;;,22
BD-203868;;;;;;;;;;,22
HIP65362;GJ508.3;;;;;;;;;,22
HD-196171;ALF-IND;;;;;;;;;,22
THETA-MUS;HD113904;SERAM-1308-6518;;;;;;;;,22
HD144899;;;;;;;;;;,22
NGC6705NO779;;;;;;;;;;,22
HD76849;;;;;;;;;;,22
GJ1135;;;;;;;;;;,22
OBJ1036;SAND1010;S1010;;;;;;;;,22
OBJ1514;;;;;;;;;;,22
TZ-FOR;0314_TZ-FOR;;;;;;;;;,22
V362_PAV;V362-PAV;;;;;;;;;,22
V805_AQL;;;;;;;;;;,22
AL-ARI;AL_ARI;;;;;;;;;,22
HD172103;;;;;;;;;;,22
A_HR2912;HR2912;B_HR2912;C_HR2912;;;;;;;,22
HD129899;B_HD129899;C_HD129899;HD 129899;A_HD129899;D_HD129899;;;;;,22
HR6593;B_HR6593;A_HR6593;C_HR6593;;;;;;;,22
HD-147048;V MZ LUP;;;;;;;;;,22
SMC-CEP-4017;;;;;;;;;;,22
SMC-CEP-3927;;;;;;;;;;,22
HD152555;;;;;;;;;;,22
HD000984;;;;;;;;;;,22
HD38801;;;;;;;;;;,22
HIP003033;;;;;;;;;;,22
SW0647-4431;;;;;;;;;;,22
HD000012;;;;;;;;;;,22
HATS561-006;;;;;;;;;;,22
HD30876;;;;;;;;;;,22
W_VIR;W VIR;V W VIR;;;;;;;;,22
V467_CEN;;;;;;;;;;,22
C14_8078;CL002-14;EPIC201498078;;;;;;;;,22
HD114319;;;;;;;;;;,22
HD114082;TIC441546821;;;;;;;;;,22
HD206428;;;;;;;;;;,22
TOI-128;TOI_128;;;;;;;;;,22
J1304-37;;;;;;;;;;,22
LTT6063;;;;;;;;;;,22
TIC54002556;;;;;;;;;;,22
TIC399967279;TIC 399967279;;;;;;;;;,22
CD-35  983;TIC178154917;;;;;;;;;,22
TYC 5881-551-1;TIC279401253;;;;;;;;;,22
TIC333736132;;;;;;;;;;,22
TOI-1967;;;;;;;;;;,22
KSI BOO A;;;;;;;;;;,22
TYC 7739-260-1;;;;;;;;;;,22
TOI-4461;;;;;;;;;;,22
HD8406;;;;;;;;;;,21
HD6348;;;;;;;;;;,21
HD211317;;;;;;;;;;,21
HD283;;;;;;;;;;,21
HD9796;;;;;;;;;;,21
HD1320;;;;;;;;;;,21
HD8038;;;;;;;;;;,21
HD94964;;;;;;;;;;,21
HIP49889;;;;;;;;;;,21
HIP58348;;;;;;;;;;,21
HD126681;;;;;;;;;;,21
HD90722;;;;;;;;;;,21
HD91379;;;;;;;;;;,21
RZ-VEL;RZ_VEL;RZ VEL;GC-RZVEL;;;;;;;,21
HD110291;;;;;;;;;;,21
GL618A;;;;;;;;;;,21
GL682;;;;;;;;;;,21
BD-110028;BD-1128;;;;;;;;;,21
HD130930;;;;;;;;;;,21
HD141597;;;;;;;;;;,21
HD221550;CD-4714611B;;;;;;;;;,21
HR-3151;;;;;;;;;;,21
HD206172;;;;;;;;;;,21
HD223272;;;;;;;;;;,21
GL438;;;;;;;;;;,21
HD245409;;;;;;;;;;,21
HD109138;RXJ1233-75;;;;;;;;;,21
HD113449;;;;;;;;;;,21
HD135468;;;;;;;;;;,21
HD139332;;;;;;;;;;,21
HIP84452;;;;;;;;;;,21
HD190954;;;;;;;;;;,21
HD-203932;HD203132P;;;;;;;;;,21
HD-217522;HD217522;HD217522P;;;;;;;;,21
HD-319;;;;;;;;;;,21
HD158352;;;;;;;;;;,21
BD-173337B;;;;;;;;;;,21
TAU-CMA;HD57061;;;;;;;;;,21
HD152236;HD-152236;ZETA1SCO;;;;;;;;,21
HD151504;;;;;;;;;;,21
PI_HYA;;;;;;;;;;,21
NGC6705NO1286;;;;;;;;;;,21
GJ3813;;;;;;;;;;,21
GJ4079;;;;;;;;;;,21
HD168443;HDTE168443;;;;;;;;;,21
WASP-7;SW2044-3913;;;;;;;;;,21
SAND488;S488;;;;;;;;;,21
SAND1279;OBJ1334;OBJ1387;OBJ1304;S1279;;;;;;,21
V397-PUP;V937-PUP;V397_PUP;0749_V397-PUP;;;;;;;,21
HIP98105;;;;;;;;;;,21
UX-MEN;UXMEN;HD37513;0530_UX-MEN;;;;;;;,21
HD43913;;;;;;;;;;,21
SAND1293;S1293;SAND1288;S1288;;;;;;;,21
SRA01_E1_0770;;;;;;;;;;,21
RSP95-15;;;;;;;;;;,21
RSP95-66;;;;;;;;;;,21
HD205891;;;;;;;;;;,21
HD483;;;;;;;;;;,21
SW2101-1325;SW2101-1325B;;;;;;;;;,21
S_NOR;S NOR;GC-SNOR;;;;;;;;,21
SMC-CEP-0524;;;;;;;;;;,21
SMC-CEP-1365;;;;;;;;;;,21
SMC-CEP-1797;;;;;;;;;;,21
SMC-CEP-1717;;;;;;;;;;,21
NGC5822NO375;NGC5822NO.375;;;;;;;;;,21
CWW_081;;;;;;;;;;,21
HD831878;;;;;;;;;;,21
C7_4238;CL004-07;;;;;;;;;,21
BL_HER;BL HER;;;;;;;;;,21
TYC6874-632-1;;;;;;;;;;,21
RX_ERI;;;;;;;;;;,21
J1328+05;;;;;;;;;;,21
HD141514;;;;;;;;;;,21
WASP98;;;;;;;;;;,21
HD86087;;;;;;;;;;,21
TIC157698565;;;;;;;;;;,21
TIC 308211363;TIC308211363;;;;;;;;;,21
TIC176780257;;;;;;;;;;,21
TOI-2374;;;;;;;;;;,21
TOI-3284;;;;;;;;;;,21
TOI-723;;;;;;;;;;,21
HD 87794;;;;;;;;;;,21
HD25357;;;;;;;;;;,20
HD225297;;;;;;;;;;,20
HD6673;;;;;;;;;;,20
HD177758;;;;;;;;;;,20
HD180409;;;;;;;;;;,20
HD207970;;;;;;;;;;,20
HD41323;;;;;;;;;;,20
HD36051;;;;;;;;;;,20
HD80883;;;;;;;;;;,20
HD45977;;;;;;;;;;,20
HD90422;;;;;;;;;;,20
HD96290;;;;;;;;;;,20
HD108768;;;;;;;;;;,20
HD120467;;;;;;;;;;,20
GL686;;;;;;;;;;,20
V642-TAU;V642TAU;;;;;;;;;,20
HIP23309;HD823309;;;;;;;;;,20
HD45081;HD045081;AO_MEN;;;;;;;;,20
HIP5114;;;;;;;;;;,20
HD42807;HIP29525;;;;;;;;;,20
HD-122970;;;;;;;;;;,20
HD209819;;;;;;;;;;,20
NGC2539NO317;;;;;;;;;;,20
HD112934;;;;;;;;;;,20
HD192425;;;;;;;;;;,20
GJ234A;GL234;;;;;;;;;,20
NGC3532NO122;NGC3532NO.122;;;;;;;;;,20
NGC3532NO100;NGC3532NO.100;;;;;;;;;,20
HD149782;HIP81533;;;;;;;;;,20
GJ118;;;;;;;;;;,20
GJ3778;;;;;;;;;;,20
GJ3915;;;;;;;;;;,20
LRC01_E2_1145;;;;;;;;;;,20
GJ3205;;;;;;;;;;,20
SAND364;S364;;;;;;;;;,20
OBJ266;OBJ285;;;;;;;;;,20
HD-119288;;;;;;;;;;,20
HD 163708;V1647_SGR;;;;;;;;;,20
IL_LIB;HD134193;;;;;;;;;,20
HR5517;;;;;;;;;;,20
CL648-3;CL648-2;CL648-1;CL648-4;;;;;;;,20
HIP-93378;;;;;;;;;;,20
HD 100546;HD-100546;HD199546;HD100546;;;;;;;,20
HD172046;;;;;;;;;;,20
HD 58647;HD58647_6_9_B0;HD-58647;;;;;;;;,20
HD-66811;;;;;;;;;;,20
HD-74273;;;;;;;;;;,20
HR2133;A_HR2133;B_HR2133;HD 41076;F_HR2133;;;;;;,20
HD145005;B_HD145005;A_HD145005;C_HD145005;;;;;;;,20
HD154857;;;;;;;;;;,20
LRC08_E2_3502;;;;;;;;;;,20
HD-156324;HD156324;;;;;;;;;,20
SMC-CEP-1693;;;;;;;;;;,20
SMC-CEP-1680;;;;;;;;;;,20
SMC-CEP-1686;;;;;;;;;;,20
PAR-1646;;;;;;;;;;,20
CWW_094;;;;;;;;;;,20
HD041593;;;;;;;;;;,20
HD74575;;;;;;;;;;,20
HD179205;;;;;;;;;;,20
HD36526;;;;;;;;;;,20
C8_4823;;;;;;;;;;,20
SW0025-1848;;;;;;;;;;,20
BB_ERI;;;;;;;;;;,20
SW1242-5341;KS38C049323;;;;;;;;;,20
HD106444;;;;;;;;;;,20
HD133574;;;;;;;;;;,20
J1652-51;;;;;;;;;;,20
WASP91;;;;;;;;;;,20
WASP45;;;;;;;;;;,20
TOI-132;;;;;;;;;;,20
TOI-829;;;;;;;;;;,20
HD  13588;;;;;;;;;;,20
J0050-18;;;;;;;;;;,20
J2114-39;;;;;;;;;;,20
J1445-54;;;;;;;;;;,20
TIC75650448;TIC 75650448;;;;;;;;;,20
TIC359683436;CD-43 8016;;;;;;;;;,20
TIC 13093071;TIC13093071;;;;;;;;;,20
TOI-159;;;;;;;;;;,20
TOI-1207;;;;;;;;;;,20
TOI-168;;;;;;;;;;,20
HD211723;;;;;;;;;;,19
HD10895;;;;;;;;;;,19
HD25120;;;;;;;;;;,19
HD34327;;;;;;;;;;,19
HD15906;;;;;;;;;;,19
HD14374;;;;;;;;;;,19
HD9246;;;;;;;;;;,19
HR3982;ALPLEO;;;;;;;;;,19
HD32804;;;;;;;;;;,19
HD91345;;;;;;;;;;,19
HD90133;;;;;;;;;;,19
HD119782;;;;;;;;;;,19
HD164233;;;;;;;;;;,19
GL413.1;;;;;;;;;;,19
HIP7743;;;;;;;;;;,19
HIP15587;;;;;;;;;;,19
HIP115955;;;;;;;;;;,19
HD010008;HD10008;;;;;;;;;,19
HR-2727;;;;;;;;;;,19
HD82895;;;;;;;;;;,19
HIP56838;;;;;;;;;;,19
HD188748;;;;;;;;;;,19
HD-24015;HR1217;;;;;;;;;,19
HD197210;;;;;;;;;;,19
HV2549;LMC-CEP-2023;SV HV 2549;;;;;;;;,19
HD116410;;;;;;;;;;,19
HD-47536;;;;;;;;;;,19
DEL_CRT;HD-98430;;;;;;;;;,19
TWA5;CD-33 7795;;;;;;;;;,19
NGC6705NO1625;;;;;;;;;;,19
HD178340;;;;;;;;;;,19
V1121-OPH;;;;;;;;;;,19
GJ739;;;;;;;;;;,19
GJ3263;;;;;;;;;;,19
DP_CET;;;;;;;;;;,19
HD-86081;HD86081;;;;;;;;;,19
QR-CEN;;;;;;;;;;,19
HD101189;HD-101189;HD-82558;;;;;;;;,19
HD000987;;;;;;;;;;,19
HD000003;HD703305;GJ3305;;;;;;;;,19
VXR-PSPC-76A;;;;;;;;;;,19
HD126341;HD-126341;;;;;;;;;,19
HD129056;HD-129056;ALF-LUP;;;;;;;;,19
GJ816;;;;;;;;;;,19
SRA03_E2_0490;;;;;;;;;;,19
HD-164794;HD164794;HD164794_6_0;;;;;;;;,19
HD-110879;BET-MUS;;;;;;;;;,19
HD39945;A_HD39945;B_HD39945;D_HD39945;;;;;;;,19
A_HR3504;B_HR3504;HR3504;;;;;;;;,19
SW1143+0633;SW1143+0633UPPER;;;;;;;;;,19
A_HR5798;C_HR5798;B_HR5798;;;;;;;;,19
LRC07_E2_4905;;;;;;;;;;,19
SMC-CEP-0958;;;;;;;;;;,19
SMC-CEP-4444;;;;;;;;;;,19
SMC-CEP-1403;;;;;;;;;;,19
NGC3680NO41;NGC3680NO.41;NGC3680NO53;;;;;;;;,19
NGC3680NO53;NGC3680NO.53;;;;;;;;;,19
IC4756NO52;;;;;;;;;;,19
CWW_071;;;;;;;;;;,19
HD030447;;;;;;;;;;,19
SW1304-3532;;;;;;;;;;,19
U_LEP;;;;;;;;;;,19
HY_COM;;;;;;;;;;,19
RS_PAV;;;;;;;;;;,19
WASP44;;;;;;;;;;,19
TOI-813;;;;;;;;;;,19
TIC394287035;;;;;;;;;;,19
J0233-10;TIC 4672985;TYC 5288-103-1;TIC4672985;;;;;;;,19
TIC466206508;TYC 9086-1210-1;;;;;;;;;,19
TIC 219176113;TIC219176113;;;;;;;;;,19
TOI-622;;;;;;;;;;,19
TOI-1975;;;;;;;;;;,19
TYC 9184-175-1;;;;;;;;;;,19
GJ1068;;;;;;;;;;,18
HD3569;;;;;;;;;;,18
GJ1048;HD16270;;;;;;;;;,18
HD58676;;;;;;;;;;,18
HD88885;;;;;;;;;;,18
HD38265;;;;;;;;;;,18
HD119629;;;;;;;;;;,18
HIP67126;;;;;;;;;;,18
HD177756;;;;;;;;;;,18
HIP4468;;;;;;;;;;,18
HIP6351;;;;;;;;;;,18
HD15008;;;;;;;;;;,18
HD-86181;;;;;;;;;;,18
HD10278;;;;;;;;;;,18
HD18001;;;;;;;;;;,18
HD96064;HD-96064;SERAM_1104-0413;;;;;;;;,18
HD108581;;;;;;;;;;,18
HV12505;;;;;;;;;;,18
HR-5049;;;;;;;;;;,18
HD125823;HR-5378;HD-125823;;;;;;;;,18
HR-6545;;;;;;;;;;,18
HIP88316;;;;;;;;;;,18
HIP85126;GJ672.1;;;;;;;;;,18
HD181428;;;;;;;;;;,18
HD146514;;;;;;;;;;,18
HD83446;;;;;;;;;;,18
HD129926;;;;;;;;;;,18
NGC-2392;;;;;;;;;;,18
HEN-2-131;;;;;;;;;;,18
HEN-2-138;;;;;;;;;;,18
HIP62471B;;;;;;;;;;,18
HD201496;;;;;;;;;;,18
HIP87607;;;;;;;;;;,18
NGC6494NO48;;;;;;;;;;,18
HD221954;;;;;;;;;;,18
HD 169142;HD169142;;;;;;;;;,18
GJ3728B;;;;;;;;;;,18
GJ3804;;;;;;;;;;,18
GJ563.2B;GJ563.2A;;;;;;;;;,18
OBJ1787;OBJ1788;;;;;;;;;,18
OBJ673;;;;;;;;;;,18
PX-HYA;PX HYA;;;;;;;;;,18
V788_CEN;;;;;;;;;;,18
HD155968;;;;;;;;;;,18
GJ629.3;;;;;;;;;;,18
HD203771;;;;;;;;;;,18
AL-DOR;0446_AL-DOR;AL_DOR;;;;;;;;,18
BN_SCL;BN-SCL;;;;;;;;;,18
GW-ERI;GW_ERI;0411_GW-ERI;;;;;;;;,18
IO-AQR;IO_AQR;;;;;;;;;,18
RSP95-29;;;;;;;;;;,18
HD159868;;;;;;;;;;,18
GJ4160A;;;;;;;;;;,18
SRA03_E2_1347;;;;;;;;;;,18
LRA03_E2_1326;;;;;;;;;;,18
HD144277;;;;;;;;;;,18
B_CCNC;A_CCNC;CCNC;;;;;;;;,18
SMC-CEP-2905;;;;;;;;;;,18
SMC-CEP-2533;;;;;;;;;;,18
SMC-CEP-0320;;;;;;;;;;,18
SMC-CEP-1723;;;;;;;;;;,18
U_AQL;U AQL;GC-UAQL;;;;;;;;,18
NGC3680NO26;NGC3680NO.26;;;;;;;;;,18
HATS581-015;;;;;;;;;;,18
HR-3890;;;;;;;;;;,18
HD181615;;;;;;;;;;,18
V_CEN;V CEN;V V CEN;GC-VCEN;;;;;;;,18
HD000007;;;;;;;;;;,18
NG1444N0537-13793;NG1444;;;;;;;;;,18
AP_HER;AP HER;;;;;;;;;,18
V338_VIR;V338 VIR;;;;;;;;;,18
TYC6306-1822-1;;;;;;;;;;,18
EPIC246193072;CL001_12;CL001-12;;;;;;;;,18
UY_ERI;;;;;;;;;;,18
SW_TAU;;;;;;;;;;,18
HATS499-001;;;;;;;;;;,18
HD126838;;;;;;;;;;,18
HD125912;;;;;;;;;;,18
HD115361;;;;;;;;;;,18
NOI-102329;;;;;;;;;;,18
K2-89;;;;;;;;;;,18
TIC24358417;;;;;;;;;;,18
V T CRA;;;;;;;;;;,18
TYC 7530-365-1;;;;;;;;;;,18
TIC 207078179;TIC207078179;;;;;;;;;,18
HD 92987;;;;;;;;;;,18
TOI-332;;;;;;;;;;,18
TOI-3071;;;;;;;;;;,18
HD 118006;;;;;;;;;;,18
HIP108930;;;;;;;;;;,17
HD22177;;;;;;;;;;,17
HD23030;;;;;;;;;;,17
HD49855;;;;;;;;;;,17
HD18719;;;;;;;;;;,17
GJ9206;HIP29322;;;;;;;;;,17
HD40483;;;;;;;;;;,17
HIP38594;;;;;;;;;;,17
HD25004;;;;;;;;;;,17
HIP39611;;;;;;;;;;,17
HD26729;;;;;;;;;;,17
HIP31862;;;;;;;;;;,17
HIP38324;;;;;;;;;;,17
HD124785;;;;;;;;;;,17
BD-104948B;BD-104948A;HD177730;;;;;;;;,17
HD162236;;;;;;;;;;,17
HIP1993;CTTUC;;;;;;;;;,17
HD224433;;;;;;;;;;,17
HV5655;;;;;;;;;;,17
HD118100;GJ517;;;;;;;;;,17
V353_HYA;HD-123767;;;;;;;;;,17
HIP78242;;;;;;;;;;,17
HD152533;;;;;;;;;;,17
HD-214853;;;;;;;;;;,17
NGC2360NO50;;;;;;;;;;,17
NGC2539NO502;;;;;;;;;;,17
HD-36079;H-36079;;;;;;;;;,17
HV2282;;;;;;;;;;,17
HD-9289;;;;;;;;;;,17
HD116259;;;;;;;;;;,17
V491_CAR_A;V491_CAR_B;V491_CAR;;;;;;;;,17
HD149200;;;;;;;;;;,17
HD-63295;ZET-VOL;;;;;;;;;,17
HD000008;V372_PUP;GJ2060AB;;;;;;;;,17
NGC6494NO46;;;;;;;;;;,17
HD186265;;;;;;;;;;,17
NGC6705NO916;NGC6705NO899;;;;;;;;;,17
NGC6705NO816;NGC6705NO827;;;;;;;;;,17
HD8446;;;;;;;;;;,17
HD32297;HD032297;;;;;;;;;,17
HD113226;HD-113226;EPS-VIR;;;;;;;;,17
GJ637;;;;;;;;;;,17
HD86006;;;;;;;;;;,17
LRC02_E1_0202;;;;;;;;;;,17
HD-50896;SERAM-0654-2355;SERAM_0654-2355;;;;;;;;,17
GJ9067B;;;;;;;;;;,17
LL-AQR;2234_LL-AQR;;;;;;;;;,17
GG_LUP;;;;;;;;;;,17
LAMBDA_TAU;TAU;0400_TAU;;;;;;;;,17
LRC03_E2_2182;;;;;;;;;;,17
HIP114044;;;;;;;;;;,17
LRA02_E1_1475;;;;;;;;;;,17
HIP43720;;;;;;;;;;,17
HD8997;;;;;;;;;;,17
HD15814;;;;;;;;;;,17
HIP-18844;HIP18844;;;;;;;;;,17
HD49585;;;;;;;;;;,17
SRA04_E2_2567;;;;;;;;;;,17
A_10LEP;B_10LEP;10LEP;10_LEP;D_10LEP;E_10LEP;;;;;,17
A_HR2543;B_HR2543;HR2543;C_HR2543;;;;;;;,17
A_34CNC;B_34CNC;34CNC;;;;;;;;,17
HD-154535;;;;;;;;;;,17
SMC-CEP-1410;;;;;;;;;;,17
SMC-CEP-3311;;;;;;;;;;,17
SMC-CEP-1712;;;;;;;;;;,17
NGC3680NO34;NGC3680NO.34;;;;;;;;;,17
HD-36512;HD36512;;;;;;;;;,17
HATS602-035;;;;;;;;;;,17
TOI-3185;HATS700-028;;;;;;;;;,17
HD3074A;;;;;;;;;;,17
HD 224974;HD224974;HIP179;;;;;;;;,17
SW1221-5250B;;;;;;;;;;,17
HD162725;;;;;;;;;;,17
EPIC212521166;;;;;;;;;;,17
HD000004;;;;;;;;;;,17
KN_CEN;KN CEN;GC-KNCEN;;;;;;;;,17
HD32129;;;;;;;;;;,17
HD134888;;;;;;;;;;,17
V971_AQL;;;;;;;;;;,17
HD105994;;;;;;;;;;,17
J0412-44;;;;;;;;;;,17
J1341-30;;;;;;;;;;,17
HD182817;;;;;;;;;;,17
HD189739;;;;;;;;;;,17
HD189760;;;;;;;;;;,17
HD 1397;TOI-120;HD1397;;;;;;;;,17
TOI-674;;;;;;;;;;,17
E_246098758;;;;;;;;;;,17
J1613-76;;;;;;;;;;,17
TYC 9063-510-1;TIC380836882;;;;;;;;;,17
TIC 265465927;TIC265465927;;;;;;;;;,17
TIC97975310;;;;;;;;;;,17
HD 103991;;;;;;;;;;,17
TOI-2358;;;;;;;;;;,17
HD204287;;;;;;;;;;,16
HD13513A;;;;;;;;;;,16
HD14868;;;;;;;;;;,16
HD22918;;;;;;;;;;,16
LHS288;;;;;;;;;;,16
BD-082534;;;;;;;;;;,16
HD34449;;;;;;;;;;,16
HD67578;;;;;;;;;;,16
HD62849;;;;;;;;;;,16
HIP46933;;;;;;;;;;,16
BD-093063;;;;;;;;;;,16
HD97783;;;;;;;;;;,16
HD82114;;;;;;;;;;,16
HD105938;;;;;;;;;;,16
HD178445;;;;;;;;;;,16
HD137303;;;;;;;;;;,16
HD55279;;;;;;;;;;,16
HD-965;HD965;;;;;;;;;,16
HD-84041;;;;;;;;;;,16
HIP7228;;;;;;;;;;,16
HIP73631;;;;;;;;;;,16
GJ-841-A;HIP108405;GJ841A;;;;;;;;,16
HD113998;;;;;;;;;;,16
HD143436;;;;;;;;;;,16
HD149933;;;;;;;;;;,16
HD150633;;;;;;;;;;,16
HD155712;;;;;;;;;;,16
HD154387;HD 154387;;;;;;;;;,16
HD210272;;;;;;;;;;,16
HD189987;;;;;;;;;;,16
HIP73362;;;;;;;;;;,16
NGC2539NO229;;;;;;;;;;,16
NGC2539NO346;;;;;;;;;;,16
NGC2539NO447;;;;;;;;;;,16
NGC2539NO463;;;;;;;;;;,16
HV1006;;;;;;;;;;,16
HV2527;;;;;;;;;;,16
HD128167;;;;;;;;;;,16
HD190613;;;;;;;;;;,16
HD201161;;;;;;;;;;,16
HD-3919;GJ9827;;;;;;;;;,16
HD-9362;LTT-827;HD9362;;;;;;;;,16
NGC2567NO114;;;;;;;;;;,16
HD101348;;;;;;;;;;,16
HD107181;;;;;;;;;;,16
HD106937;;;;;;;;;;,16
HD217395;;;;;;;;;;,16
HD-166473;HD166473;;;;;;;;;,16
HD-193756;;;;;;;;;;,16
GJ173;;;;;;;;;;,16
GJ3379;;;;;;;;;;,16
GJ3528;;;;;;;;;;,16
HD56413;;;;;;;;;;,16
NGC2477NO5035;;;;;;;;;;,16
GJ297.2B;;;;;;;;;;,16
SMC106.6-20761;;;;;;;;;;,16
HD65949;;;;;;;;;;,16
SAND1305;S1305;;;;;;;;;,16
SAND1557;S1557;;;;;;;;;,16
PT-VEL;0910_PT-VEL;;;;;;;;;,16
HD202671;HD-202671;;;;;;;;;,16
HD211838;HD-211838;;;;;;;;;,16
CW_ERI;EW_ERI;0303_EW_ERI;;;;;;;;,16
SRA03_E2_0999;;;;;;;;;;,16
NGC-2024;;;;;;;;;;,16
COUP7;COUP-7;;;;;;;;;,16
HD123732;;;;;;;;;;,16
HD-106506;;;;;;;;;;,16
HD142883;HD-142883;HD 142883;;;;;;;;,16
HD 98922;HD-98922;HD98922_6.8_B9;;;;;;;;,16
HD184552;51SGR;;;;;;;;;,16
HD-66522;;;;;;;;;;,16
HD-68451;;;;;;;;;;,16
B_HR1975;A_HR1975;HR1975;;;;;;;;,16
A_HR2206;B_HR2206;HR2206;D_HR2206;;;;;;;,16
B_HR2629;A_HR2629;HR2629;;;;;;;;,16
A_HR2755;B_HR2755;HR2755;;;;;;;;,16
HD-156424;;;;;;;;;;,16
HD-137059;;;;;;;;;;,16
HD182180;;;;;;;;;;,16
HD124224;;;;;;;;;;,16
HD-147932;;;;;;;;;;,16
HD92207;;;;;;;;;;,16
HATS700-004;;;;;;;;;;,16
HD216494;;;;;;;;;;,16
TET-ERI;;;;;;;;;;,16
HD35298;;;;;;;;;;,16
PHI-VEL;;;;;;;;;;,16
HD74169;;;;;;;;;;,16
X_PUP;X PUP;GC-XPUP;;;;;;;;,16
KT_COM;KT COM;;;;;;;;;,16
AL_VIR;AL VIR;;;;;;;;;,16
BD-04_3206;BD-04-3206;BD-04 3206;;;;;;;;,16
TYC4930-128-1;;;;;;;;;;,16
NG2126-1652-18399;;;;;;;;;;,16
T_SEX;;;;;;;;;;,16
V753_CEN;;;;;;;;;;,16
RR_LEO;;;;;;;;;;,16
HD111520;;;;;;;;;;,16
HD120326;;;;;;;;;;,16
HD113524;;;;;;;;;;,16
HD117214;;;;;;;;;;,16
HD146181;;;;;;;;;;,16
AE_BOO;;;;;;;;;;,16
HD100282;;;;;;;;;;,16
HD112810;;;;;;;;;;,16
HD110697;;;;;;;;;;,16
HD113556;;;;;;;;;;,16
HD124469;;;;;;;;;;,16
HD182797;;;;;;;;;;,16
WASP46;;;;;;;;;;,16
HD113466;;;;;;;;;;,16
HD 150193;HD150193;;;;;;;;;,16
NXAQR;;;;;;;;;;,16
NOI-101594;;;;;;;;;;,16
J0110-40;;;;;;;;;;,16
V LQ LUP;;;;;;;;;;,16
V TY CRA;;;;;;;;;;,16
TIC 188620407;TIC188620407;;;;;;;;;,16
HD 176269;;;;;;;;;;,16
TOI-209;;;;;;;;;;,16
TOI-812;;;;;;;;;;,16
HD 57372;;;;;;;;;;,16
TOI-2498;;;;;;;;;;,16
HD 63935;;;;;;;;;;,16
TOI-3261;;;;;;;;;;,16
HD203897;;;;;;;;;;,15
HD20492;;;;;;;;;;,15
HD22249;;;;;;;;;;,15
HD3229;;;;;;;;;;,15
HD75745;;;;;;;;;;,15
GJ3404A;G108-21;;;;;;;;;,15
BD-131161;;;;;;;;;;,15
BD-131434;;;;;;;;;;,15
HIP6097;GJ56.1;;;;;;;;;,15
HIP34785;;;;;;;;;;,15
BD-092535;;;;;;;;;;,15
HD62847;;;;;;;;;;,15
HD109310;;;;;;;;;;,15
HD93932;;;;;;;;;;,15
HD186302;HD 186302;;;;;;;;;,15
HIP82357;;;;;;;;;;,15
HIP4394;;;;;;;;;;,15
HD212728;;;;;;;;;;,15
HD126829;;;;;;;;;;,15
HD168960;;;;;;;;;;,15
HD183993;;;;;;;;;;,15
HD152433;;;;;;;;;;,15
HD-565;;;;;;;;;;,15
HD200761;;;;;;;;;;,15
S-MON;S_MON;;;;;;;;;,15
HD147195;;;;;;;;;;,15
HD203335;;;;;;;;;;,15
HD-20037;HD20037;;;;;;;;;,15
HD-18322;ETA-ERI;;;;;;;;;,15
HD-50310;TAU-PUP;;;;;;;;;,15
HD-50337;HD50337;;;;;;;;;,15
NGC2567NO16;;;;;;;;;;,15
NGC2567NO54;;;;;;;;;;,15
HD95136;;;;;;;;;;,15
HD197818;;;;;;;;;;,15
LRA01_E1_1031;COROT-EXO-5;;;;;;;;;,15
HD7950;;;;;;;;;;,15
S1607;SAND1607;;;;;;;;;,15
MUS;;;;;;;;;;,15
GJ660A;;;;;;;;;;,15
MP_DEL;2028_MP_DEL;;;;;;;;;,15
LRA02_E2_2165;;;;;;;;;;,15
