HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
V AX MIC;HD202560;;;;;;;;;,98
HD-1237;HD1237;;;;;;;;;,97
HIP21934;;;;;;;;;;,97
GJ3543;;;;;;;;;;,97
OBJ1062;OBJ1051;OBJ1075;OBJ1197;OBJ1088;S1254;OBJ988;OBJ1129;SAND1254;NGC  2682   182;OBJ1067,97
HD-11462;HD11462;HD_11462_7.8;;;;;;;;,97
HIP-3419;HD-4128;HD4128;;;;;;;;,96
HD75049;HD-75049;;;;;;;;;,96
KELT-10;;;;;;;;;;,96
HD205536;HD 205536;;;;;;;;;,95
HD195564;;;;;;;;;;,95
HD111515;;;;;;;;;;,95
HD171028;;;;;;;;;;,95
HD137388;;;;;;;;;;,95
LRC01_E2_0192;COROT-2;;;;;;;;;,95
HD135240;;;;;;;;;;,95
HD92719;HD 92719;;;;;;;;;,94
HD85725;;;;;;;;;;,94
HD169830;;;;;;;;;;,94
TWA7;;;;;;;;;;,94
HD219828;;;;;;;;;;,94
HD99492;HD099492;;;;;;;;;,94
HD102117;;;;;;;;;;,93
HD125072;;;;;;;;;;,93
HD-137909;;;;;;;;;;,93
HD207496;GJ4230B;;;;;;;;;,93
HD53143;HD053143;;;;;;;;;,93
HR7703;;;;;;;;;;,92
HD13060;;;;;;;;;;,92
HD202206;HD 202206;HDTE202206;;;;;;;;,92
CRCHA;CR-CHA;;;;;;;;;,92
SX_PHE;;;;;;;;;;,92
IOT-CAR;IOTCAR;$IOTA$,CAR;;;;;;;;,92
TOI-1062;;;;;;;;;;,92
HR2667;HD53705;;;;;;;;;,91
HD98281;;;;;;;;;;,91
HD97343;;;;;;;;;;,91
HD62364;;;;;;;;;;,91
HD111232;HD 111232;;;;;;;;;,91
HD131653;;;;;;;;;;,91
HD101198;;;;;;;;;;,91
SW2351-3954;WASP-29;;;;;;;;;,91
KAPPA1-CET;KAP01 CET;;;;;;;;;,91
HD50806;;;;;;;;;;,90
HD156098;HD156098_F6IV;;;;;;;;;,90
SW0953-4539;WASP-19;WASP19;;;;;;;;,90
HD 213575;HD213575;;;;;;;;;,89
HD31822;;;;;;;;;;,89
HIP--1954;HD2071;HIP1954;;;;;;;;,89
HD5388;;;;;;;;;;,89
GL908;SAO128397;;;;;;;;;,89
GJ9201;HIP28754;L  181-1;;;;;;;;,89
HD104067;;;;;;;;;;,89
IC2714NO220;IC2714NO121;IC2714NO110;IC2714NO.110;IC2714NO.220;;;;;;,89
HD153363;;;;;;;;;;,89
HD-44743;;;;;;;;;;,89
HD 2134;HD2134;HD  2134;;;;;;;;,89
HD30669;;;;;;;;;;,88
HD103720;;;;;;;;;;,88
HIP-95962;HD183658;HIP95962;HD 183658;;;;;;;,88
HIP-28066;HIP28066;;;;;;;;;,88
TOI-269;2MASS J05032306-5410378;;;;;;;;;,88
TOI-261;;;;;;;;;;,88
HD4307;;;;;;;;;;,87
HD20782;HIP15527;;;;;;;;;,87
HD31103;;;;;;;;;;,87
HIP--7585;HIP7585;HD9986;HIP7505;;;;;;;,87
HR6141;;;;;;;;;;,87
SW0227-5017;;;;;;;;;;,87
HD40105;;;;;;;;;;,86
HR695;KAPFOR;GJ97;;;;;;;;,86
GL433;;;;;;;;;;,86
HIP102152;HD 197027;HD197027;;;;;;;;,86
HD170580;;;;;;;;;;,86
MPMUS;;;;;;;;;;,86
TOI-2673;;;;;;;;;;,86
HD20407;;;;;;;;;;,85
GJ180;GJ-180;;;;;;;;;,85
Wasp17-Rossiter-Triaud-0;SW1559-2803;1SWASPJ155950.94-280342.3;TCHOUBIDOO1;Wasp17-Eccentricity-Triaud-12;Wasp17-Eccentricity-Triaud-13;Wasp17-Eccentricity-Triaud-14;Wasp17-Eccentricity-Triaud-15;Wasp17-Eccentricity-Triaud-16;Wasp17-Eccentricity-Triaud-17;Wasp17-Eccentricity-Triaud-18,85
J0353-16;;;;;;;;;;,85
TOI-2458;;;;;;;;;;,85
HD44120;HD 44120;;;;;;;;;,84
HD95542;;;;;;;;;;,84
HD125612;;;;;;;;;;,84
GJ4303;HD813201;;;;;;;;;,84
TOI-822;SW1430-4609;;;;;;;;;,84
HD107383_11COM;;;;;;;;;;,84
J0310-31;;;;;;;;;;,84
HD8828;;;;;;;;;;,83
HD19641;;;;;;;;;;,83
HD199289;;;;;;;;;;,83
HD12387;;;;;;;;;;,83
HD145417;;;;;;;;;;,83
HD222368;;;;;;;;;;,83
HD185283;;;;;;;;;;,83
HD025457;HD25457;;;;;;;;;,83
SW0207-2039;;;;;;;;;;,83
HD-29615;HD29615;HD  29615;HD 29615;;;;;;;,83
HD224693;;;;;;;;;;,83
HD11397;;;;;;;;;;,82
HD78747;;;;;;;;;;,82
HIP-54287;HD96423;HIP54287;HD 96423;;;;;;;,82
HD73267;HD  73267;;;;;;;;;,82
HR6416;;;;;;;;;;,82
MTTEL;VSGR;;;;;;;;;,82
HD168863;;;;;;;;;;,82
HIP-85355;;;;;;;;;;,82
HATS-6;HATS552-017;;;;;;;;;,82
HD9578;;;;;;;;;;,81
HR3677;;;;;;;;;;,81
HD196877;;;;;;;;;;,81
20_MON;NLTT17494;NLTT;HD54810;;;;;;;,81
NGC6705NO1101;NGC6705NO1256;NGC6705NO1184;NGC6705NO1117;NGC6705NO1111;NGC6705NO1248;NGC6705PPM43;;;;,81
GJ126;;;;;;;;;;,81
GJ3256;;;;;;;;;;,81
GJ3871;;;;;;;;;;,81
V S MUS;S_MUS;S MUS;;;;;;;;,81
HD 196067;HD196068;HD196067;MU.02 OCT;;;;;;;,81
HD108147;;;;;;;;;;,80
HD148211;;;;;;;;;;,80
HD19230;;;;;;;;;;,80
HD116434;;;;;;;;;;,80
TOI-3493;;;;;;;;;;,80
HD21209A;HIP15771B;;;;;;;;;,79
HD35854;;;;;;;;;;,79
HD4457;;;;;;;;;;,79
GL406;WOLF-359;GJ406;WOLF359;;;;;;;,79
GL849;;;;;;;;;;,79
HD104731;;;;;;;;;;,79
HIP-64150;HIP64150;HD 114174;;;;;;;;,79
KAP PAV;KAPPA_PAV;;;;;;;;;,79
C15_3012;;;;;;;;;;,79
TOI-396;;;;;;;;;;,79
HIP-14501;HD19467;HIP14501;;;;;;;;,78
HD207832;;;;;;;;;;,78
GL887;;;;;;;;;;,78
HD199190;;;;;;;;;;,78
ALF-TRA;ALPHATRA;HD-150798;;;;;;;;,78
HD48265;HD  48265;;;;;;;;;,78
SW1418-2016;TCHOUBIDOO2;;;;;;;;;,78
GJ3634;;;;;;;;;;,78
HD106906;;;;;;;;;;,78
SW0633-2329;;;;;;;;;;,78
TOI-426;;;;;;;;;;,78
CPD-63 1435;;;;;;;;;;,78
HD125881;;;;;;;;;;,77
HD16280;HD  16280;;;;;;;;;,77
HD199960;;;;;;;;;;,77
HD14943;HD014943;;;;;;;;;,77
GJ3307;;;;;;;;;;,77
SW1615+1001;;;;;;;;;;,77
HD45975;;;;;;;;;;,77
HIP-74432;HD 135101;HIP74432;;;;;;;;,77
TOI-763;;;;;;;;;;,77
HD 23079;HD23079;;;;;;;;;,76
HD-134305;;;;;;;;;;,76
HD-158926;;;;;;;;;;,76
NLTT-21307;;;;;;;;;;,76
HD175541;HD-175541;;;;;;;;;,76
HD 65216;HD65216;;;;;;;;;,75
HD176354;;;;;;;;;;,75
J1540-09;;;;;;;;;;,75
HD154363;;;;;;;;;;,74
