seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
898 ,PNG 329.3-02.8,PN Mz 2                            ,PN ,243.6349885712039 -54.9512946818853,252.2712754927783 -33.1229824605655,329.3830073695191 -02.8717708569316,                ,         ,-29.7       ,         ,         ,13.00    ,         ,16.6954  ,         ,13.693   ,13.195   ,13.034   ,         ,         ,         ,         ,         ,               ,                           ,0.383 0.383          ,0       ,0        ,0        , 101,   0
899 ,PNG 329.4-02.7,Hen 2-149                          ,PN ,243.601108 -54.794117              ,252.209000 -32.973450              ,329.477483 -02.744567              ,                ,         ,-113.0      ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.050 0.050          ,0       ,0        ,0        ,  50,   0
900 ,PNG 329.5+01.7,PN VBRC 7                          ,PN ,238.71254 -51.37611                ,247.94607 -30.30523                ,329.55463 +01.75861                ,                ,         ,            ,         ,         ,15.00    ,         ,         ,         ,15.882   ,14.861   ,14.313   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
901 ,PNG 329.5-02.2,PN G329.5-02.2                     ,PN ,243.1417 -54.3933                  ,251.7984 -32.6382                  ,329.5598 -02.2705                  ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  23,   0
902 ,PNG 330.2+05.9,PN Lo 9                            ,PN ,235.555583 -47.679536              ,244.642773 -27.227062              ,330.255062 +05.926021              ,                ,         ,-33         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  18,   0
903 ,PNG 330.6-02.1,WRAY 16-212                        ,PN ,244.3098633004300 -53.5348644452200,252.3814097226152 -31.6556404308147,330.6505266201824 -02.1246356549992,  -3.076 -4.792 ,0.9732   ,-40.2       ,         ,         ,15.00    ,         ,20.187098,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.217 0.217          ,0       ,0        ,0        ,  58,   0
904 ,PNG 330.6-03.6,WRAY 16-219                        ,PN ,246.08933 -54.60089                ,253.83728 -32.49517                ,330.63860 -03.61676                ,                ,         ,-89         ,         ,         ,15.00    ,         ,         ,         ,14.758   ,14.619   ,14.377   ,         ,         ,         ,         ,         ,               ,                           ,0.167 0.167          ,0       ,0        ,0        ,  53,   0
905 ,PNG 330.7+04.1,HD 330036                          ,PN ,237.8163708603884 -48.7495997531542,246.5869805513528 -27.8928918859321,330.7786262009003 +04.1534529373272,  -1.478 -1.517 ,1.2252   ,-12.00      ,         ,11.759   ,10.892   ,10.921   ,10.780894,         ,9.017    ,8.082    ,7.572    ,         ,11.311   ,10.689   ,10.431   ,         ,F5III-IVe      ,                           ,                     ,0       ,2        ,0        , 153,   0
906 ,PNG 330.9+04.3,WRAY 16-189                        ,PN ,237.8327389497600 -48.4354119147000,246.5138995585656 -27.5852436745434,330.9857569588289 +04.3904469730516,  -3.553 -7.293 ,0.444    ,27          ,         ,         ,17.00    ,         ,18.464314,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,1       ,0        ,0        ,  20,   0
907 ,PNG 331.0-02.7,WRAY 16-217                        ,PN ,245.5597218545324 -53.6817008133097,253.2694512042066 -31.6527687252347,331.0753491011749 -02.7501648308706,  -7.200 -5.894 ,1.3835   ,-70.0       ,         ,         ,15.50    ,         ,15.6620  ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.050 0.050          ,0       ,0        ,0        ,  61,   0
908 ,PNG 331.1-05.7,HD 149427                          ,PN ,249.4279168729900 -55.7073314378500,256.3074440551901 -33.2417198807167,331.1344791720072 -05.7655536060077,  -5.383 -7.252 ,0.0323   ,-52         ,         ,12.75    ,11.23    ,         ,11.817004,         ,10.937   ,10.744   ,10.340   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        , 100,   0
909 ,PNG 331.3+16.8,NGC 5873                           ,PN ,228.2119190119500 -38.1254404157900,236.2225543915998 -19.4585738712169,331.3257449347899 +16.8283313197286,  -5.526 -2.881 ,1.5246   ,-130.3      ,         ,11.6     ,9.7      ,         ,16.197514,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC]           ,                           ,0.117 0.117          ,0       ,0        ,0        , 138,   0
910 ,PNG 331.4+00.5,PN Pe 1-4                          ,PN ,242.2451024848600 -51.0322924224100,250.3430050707145 -29.4700527365018,331.4484744820962 +00.5624133187402,  -2.082 -3.800 ,0.4516   ,            ,         ,19.1     ,17.60    ,         ,18.660961,         ,15.597   ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  55,   0
911 ,PNG 331.4-03.5,WRAY 16-221                        ,PN ,246.9621751922699 -54.0245822828300,254.3007100367659 -31.8337451807285,331.4083299709760 -03.5816292916450,  -2.513 -2.757 ,0.0883   ,24          ,         ,         ,13.20    ,         ,12.754750,         ,12.188   ,12.129   ,11.893   ,         ,         ,         ,         ,         ,B0I-III        ,                           ,                     ,0       ,0        ,0        ,  72,   0
912 ,PNG 331.5-02.7,WRAY 16-220                        ,PN ,246.15746 -53.37614                ,253.61004 -31.28505                ,331.54296 -02.78832                ,                ,         ,-98.0       ,         ,         ,15.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.167 0.167          ,0       ,0        ,0        ,  65,   0
913 ,PNG 331.5-03.9,WRAY 16-224                        ,PN ,247.49875 -54.15778                ,254.69357 -31.90769                ,331.52880 -03.90151                ,                ,         ,-14         ,         ,         ,14.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.833 0.833          ,0       ,0        ,0        ,  46,   0
914 ,PNG 331.7-01.0,PN Mz 3                            ,PN ,244.3057980760400 -51.9863088593000,252.0158732785375 -30.1391780008477,331.7274155836166 -01.0114216021314,  -3.549 -3.914 ,0.3658   ,-21.2       ,         ,10.8     ,14.00    ,         ,13.190141,         ,9.352    ,7.355    ,5.608    ,         ,         ,         ,         ,         ,O9.5           ,                           ,0.423 0.423          ,0       ,0        ,0        , 342,   0
915 ,PNG 332.0-03.3,WRAY 16-223                        ,PN ,247.4720672191400 -53.3873438272100,254.5138377379711 -31.1524706484507,332.0793035693002 -03.3611588030084,  -6.056 -5.403 ,0.2815   ,-62         ,         ,         ,14.50    ,         ,17.795383,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.267 0.267          ,0       ,0        ,0        ,  69,   0
916 ,PNG 332.2+03.5,WRAY 16-199                        ,PN ,240.0918136450700 -48.2598858934100,248.1125985651847 -27.0678755100398,332.2516610499932 +03.5597473028337,    0.034 1.702 ,0.1837   ,            ,         ,         ,16.50    ,         ,17.646603,         ,13.199   ,         ,11.943   ,         ,         ,         ,         ,         ,               ,                           ,0.213 0.175          ,0       ,0        ,0        ,  16,   0
917 ,PNG 332.3-04.2,WRAY 16-227                        ,PN ,248.8384590799100 -53.8364966664000,255.5392564985043 -31.4544115432926,332.3015973908400 -04.2609342358835,                ,         ,51          ,         ,13.5     ,14.10    ,         ,14.551406,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  54,   0
918 ,PNG 332.8-16.4,PN HaTr 6                          ,PN ,267.970146 -60.389425              ,268.745009 -36.958971              ,332.795241 -16.465638              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  18,   0
919 ,PNG 332.9-09.9,CPD-56 8032                        ,PN ,257.2538715323917 -56.9132967446547,261.6619381389775 -33.8423505800008,332.9152622943341 -09.9082942706377,  -2.209 -5.636 ,         ,-66         ,11.24    ,11.48    ,11.04    ,11.067   ,11.1558  ,         ,9.513    ,8.499    ,6.862    ,         ,12.169   ,         ,11.140   ,         ,[WC10]         ,                           ,                     ,0       ,0        ,0        , 256,   0
920 ,PNG 333.4+01.1,PN Pe 1-5                          ,PN ,243.833862 -49.222664              ,251.054529 -27.490008              ,333.429075 +01.186776              ,                ,         ,-63.5       ,         ,         ,13.70    ,         ,         ,         ,11.672   ,         ,10.429   ,         ,         ,         ,         ,         ,               ,                           ,0.233 0.201          ,0       ,0        ,0        ,  74,   0
921 ,PNG 333.4-04.0,PN HaTr 3                          ,PN ,249.906604 -52.820347              ,256.079286 -30.347736              ,333.487018 -04.056964              ,                ,         ,-88         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  17,   0
922 ,PNG 334.3-01.4,PN G334.3-01.4                     ,PN ,247.777725 -50.443911              ,254.136672 -28.221263              ,334.352445 -01.479190              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  10,   0
923 ,PNG 334.3-09.3,IC 4642                            ,PN ,257.9383521871100 -55.4004621394300,261.9303243627828 -32.2985433740350,334.3912061857884 -09.3457531810260,  -1.104 -8.429 ,0.2426   ,44.0        ,         ,10.0     ,13.0     ,         ,15.902601,         ,15.646   ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.277 0.277          ,0       ,0        ,0        , 129,   1
924 ,PNG 334.8-07.4,CD-53 7049                         ,PN ,255.7619935852099 -53.9316572290300,260.2771535238202 -30.9718758892285,334.8430660066237 -07.4639643527005,  -5.743 -5.147 ,0.1587   ,-67.04      ,         ,11.84    ,11.48    ,         ,11.109614,         ,9.858    ,9.458    ,9.270    ,         ,         ,         ,         ,         ,B/Ae           ,                           ,                     ,0       ,0        ,0        ,  60,   1
925 ,PNG 335.2-03.6,PN HaTr 4                          ,PN ,251.250175 -51.205656              ,256.736275 -28.626175              ,335.251652 -03.620138              ,                ,         ,-97         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  48,   0
926 ,PNG 335.4+09.2,PN K 1-31                          ,PN ,238.302138 -41.840597              ,245.192851 -21.092594              ,335.470782 +09.267157              ,                ,         ,-62         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  19,   0
927 ,PNG 335.4-01.1,WRAY 15-1508                       ,PN ,248.55625 -49.35342                ,254.48922 -27.06234                ,335.49259 -01.10323                ,                ,         ,            ,         ,         ,17.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.363 0.363          ,0       ,0        ,0        ,  60,   0
928 ,PNG 335.5+12.4,PN DS 2                            ,PN ,235.7710078405800 -39.3040566368300,242.5788173623364 -19.0673583491135,335.5839495318809 +12.4477124839510,-14.071 -13.047 ,1.2173   ,            ,         ,11.94    ,11.91    ,         ,12.325579,         ,         ,         ,         ,         ,         ,         ,         ,         ,sdO            ,                           ,                     ,0       ,0        ,0        ,  42,   0
929 ,PNG 335.6-04.0,PN MeWe 1-8                        ,PN ,252.167475 -51.155628              ,257.376222 -28.494924              ,335.662205 -04.026769              ,                ,         ,24          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  12,   0
930 ,PNG 335.9-03.6,PN MeWe 1-7                        ,PN ,251.987792 -50.713422              ,257.179080 -28.072752              ,335.928931 -03.655899              ,                ,         ,-85         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13,   0
931 ,PNG 336.2+01.9,PN Pe 1-6                          ,PN ,245.976287 -46.704244              ,252.096407 -24.747031              ,336.219496 +01.973130              ,                ,         ,-76.0       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.120 0.120          ,0       ,0        ,0        ,  62,   0
932 ,PNG 336.2-06.9,PN PC 14                           ,PN ,256.56146 -52.50014                ,260.64536 -29.49636                ,336.28813 -06.99154                ,                ,         ,-34         ,         ,17.2     ,16.5     ,         ,         ,         ,13.601   ,13.762   ,12.943   ,         ,         ,         ,         ,         ,[WC4/6]        ,                           ,0.117 0.117          ,1       ,0        ,0        , 107,   0
933 ,PNG 336.3-05.6,WRAY 15-1585                       ,PN ,254.9005387408199 -51.7023948657800,259.3819475891549 -28.8182091248158,336.3077663749048 -05.6966348885687,  -2.293 -5.272 ,0.0089   ,-87         ,         ,         ,14.30    ,         ,15.924473,         ,13.205   ,12.461   ,12.155   ,         ,         ,         ,         ,         ,               ,                           ,0.05368367 0.04849917,0       ,0        ,0        ,  87,   0
934 ,PNG 336.8-07.2,PN K 2-17                          ,PN ,257.3994506845899 -52.2173193738400,261.1959210996738 -29.1624347847337,336.8227321790665 -07.2374752652895,  -1.650 -4.874 ,0.0943   ,8           ,         ,         ,         ,         ,17.153128,         ,15.896   ,15.272   ,14.259   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27,   0
935 ,PNG 336.9+08.3,PN StWr 4-10                       ,PN ,240.5543878703100 -41.5600186570900,246.8838120890518 -20.4548197231968,336.9437576622756 +08.3795830507517,  -6.484 -1.833 ,0.1436   ,-159        ,         ,13.9     ,15.00    ,         ,15.440125,         ,14.335   ,14.209   ,13.824   ,         ,         ,         ,         ,         ,[WC2/3]        ,                           ,                     ,0       ,0        ,0        ,  54,   0
936 ,PNG 336.9-11.5,PN MeWe 1-10                       ,PN ,263.6175099614000 -54.4826506014800,265.6727472369384 -31.1391853146250,336.9803063658276 -11.5807686964674,  0.795 -10.223 ,0.6646   ,-14         ,         ,         ,         ,         ,18.769697,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13,   0
937 ,PNG 337.4+01.6,PN Pe 1-7                          ,PN ,247.6077736455499 -46.0474623294600,253.1892588597422 -23.9064255513753,337.4742239854717 +01.6189423895534,  -2.503 -3.409 ,0.0364   ,-33.0       ,         ,17.9     ,16.7     ,         ,15.569094,         ,11.852   ,11.238   ,10.190   ,         ,         ,         ,         ,         ,[WC9]          ,                           ,0.02717467 0.02689583,0       ,0        ,0        ,  89,   0
938 ,PNG 337.4-09.1,WRAY 16-266                        ,PN ,260.6541629080217 -52.7762745890639,263.5162338607499 -29.5471234547555,337.4968005158094 -09.1849905350443,  -2.665 -6.595 ,0.4806   ,-101        ,         ,         ,15.00    ,         ,17.8316  ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  22,   0
939 ,PNG 337.5-05.1,WRAY 15-1594                       ,Em*,255.4041509681700 -50.3826608744600,259.5655938742133 -27.4707242188281,337.5513863532686 -05.1406230621553,   2.943 -0.517 ,0.2041   ,52          ,11.85    ,12.72    ,12.54    ,12.66    ,12.514254,         ,11.850   ,11.529   ,11.364   ,         ,12.61    ,12.54    ,12.59    ,         ,O6V((f))e      ,                           ,                     ,0       ,0        ,0        ,  50,   1
940 ,PNG 337.6-04.2,PN MeWe 1-9                        ,PN ,254.370446 -49.781889              ,258.746058 -26.951405              ,337.617593 -04.248137              ,                ,         ,-96         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  11,   0
941 ,PNG 338.1-08.3,NGC 6326                           ,PN ,260.192717 -51.754214              ,263.105624 -28.549374              ,338.199299 -08.383514              ,      -7.7 24.9 ,         ,10.7        ,         ,12.83    ,11.53    ,16.00    ,         ,15.16    ,14.55    ,         ,         ,         ,         ,         ,         ,         ,O(H)5-8((fc))  ,                           ,0.29123336 0.28220835,0       ,0        ,0        , 143,   0
942 ,PNG 338.8+05.6,IC 4599                            ,PN ,244.8467033659600 -42.2601969204700,250.3737286412739 -20.5195693235700,338.8043232001501 +05.6810377720605,  -1.185 -1.645 ,0.2259   ,-61         ,         ,         ,12.70    ,         ,16.462282,         ,11.006   ,10.558   ,10.078   ,         ,         ,         ,         ,         ,               ,                           ,0.470 0.226          ,0       ,0        ,0        ,  81,   0
943 ,PNG 339.9+88.4,PN LoTr 5                          ,PN ,193.8906129618400 +25.8918220239000,181.6037361184237 +29.1139625393213,339.8964186512873 +88.4572409200260,  -26.397 4.911 ,2.1981   ,-16.50      ,         ,9.72     ,8.88     ,         ,8.636563 ,         ,7.370    ,6.947    ,6.855    ,11.116   ,15.878   ,12.133   ,12.789   ,9.235    ,G5III-IV       ,                           ,0.177 0.177          ,0       ,0        ,0        , 202,   0
944 ,PNG 340.4-14.1,PN Sa 1-6                          ,PN ,270.2478103449700 -52.7388990252400,270.1720523658796 -29.2997503830357,340.4819817762370 -14.1971281544015,    0.021 1.373 ,0.1233   ,-279        ,         ,14.0     ,15.00    ,         ,15.969255,         ,14.712   ,14.433   ,14.000   ,         ,         ,         ,         ,         ,               ,                           ,0.150 0.150          ,0       ,0        ,0        ,  25,   0
945 ,PNG 340.8+10.8,PN Lo 12                           ,PN ,242.11054 -37.14583                ,247.19046 -15.88908                ,340.86896 +10.81980                ,                ,         ,9           ,         ,         ,         ,         ,         ,         ,16.745   ,15.895   ,15.988   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
946 ,PNG 340.8+12.3,PN Lo 11                           ,PN ,240.842546 -36.014925              ,245.923678 -14.980995              ,340.895344 +12.341301              ,                ,         ,-79         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.983 0.983          ,0       ,0        ,0        ,  37,   0
947 ,PNG 340.9-04.6,PN Sa 1-5                          ,PN ,257.8641441096587 -47.4172363827424,261.0164913119386 -24.3556915760878,340.9068365540957 -04.6620765358491,                ,         ,-2          ,         ,         ,15.60    ,         ,16.8895  ,         ,14.810   ,14.635   ,13.833   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  29,   0
948 ,PNG 341.2-24.6,PN Lo 18                           ,PN ,287.449233 -55.586392              ,281.637998 -32.849877              ,341.221208 -24.609193              ,                ,         ,31          ,         ,20.01    ,         ,19.11    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           , 1.23  1.15          ,0       ,0        ,0        ,  23,   0
949 ,PNG 341.5-09.1,WRAY 16-290                        ,PN ,264.0289234622899 -49.4292339932800,265.6800093999746 -26.0794407016367,341.5086981709184 -09.1799348115940,  -0.357 -7.490 ,0.0275   ,-25         ,         ,13.5     ,14.50    ,         ,15.397036,         ,14.940   ,14.805   ,14.467   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  36,   0
950 ,PNG 341.6+13.7,NGC 6026                           ,PN ,240.3380145041500 -34.5432739730500,245.2012130669086 -13.6225783272362,341.6049060860611 +13.7041972140836,  -3.120 -1.221 ,0.3451   ,-87         ,         ,13.2     ,12.50    ,         ,13.125546,         ,13.052   ,13.039   ,13.044   ,         ,         ,         ,         ,         ,O7             ,                           ,0.563 0.563          ,0       ,0        ,0        , 107,   0
951 ,PNG 341.8+05.4,NGC 6153                           ,PN ,247.8773785185599 -40.2535128357500,252.3938833779048 -18.1568215982350,341.8445927316887 +05.4383417767193,  -3.755 -2.460 ,0.7192   ,39.0        ,         ,10.7     ,15.55    ,         ,15.311651,         ,9.935    ,9.930    ,9.061    ,         ,         ,         ,         ,         ,               ,                           ,0.530 0.498          ,0       ,0        ,0        , 297,   0
952 ,PNG 342.1+10.8,NGC 6072                           ,PN ,243.2431814107000 -36.2298319739400,247.9354325360041 -14.8176893093968,342.1819118752792 +10.8520161909022,    3.025 0.443 ,1.0863   ,7           ,         ,         ,12.10    ,         ,18.551302,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,1.167 1.167          ,0       ,0        ,0        , 167,   0
953 ,PNG 342.1+27.5,PN Me 2-1                          ,PN ,230.5803382473100 -23.6253923336400,234.2715327160407 -04.9422616612705,342.1386518639453 +27.5317078378084,  -6.049 -5.526 ,         ,44.4        ,         ,12.2     ,12.20    ,         ,18.347790,         ,13.780   ,13.948   ,13.156   ,         ,         ,         ,         ,         ,               ,                           ,0.100 0.100          ,0       ,0        ,0        , 214,   0
954 ,PNG 342.5-14.3,PN Sp 3                            ,PN ,271.8158364714200 -51.0195039981600,271.2887015804627 -27.5883300148567,342.5141819626209 -14.3130815221267,  -2.572 -0.789 ,         ,43          ,         ,12.80    ,12.89    ,13.46    ,13.104221,13.22    ,13.415   ,13.374   ,13.444   ,         ,         ,         ,         ,         ,O              ,                           ,0.593 0.593          ,0       ,0        ,0        ,  76,   0
955 ,PNG 342.7+00.7,PN H 1-3                           ,PN ,253.38054 -42.65633                ,257.06848 -19.96025                ,342.74425 +00.75173                ,                ,         ,-6.0        ,         ,         ,14.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.263 0.263          ,0       ,0        ,0        ,  43,   0
956 ,PNG 342.8-06.6,PN Cn 1-4                          ,PN ,261.953271 -46.928139              ,264.009446 -23.656036              ,342.896065 -06.673604              ,      -6.6 -5.4 ,         ,-82         ,         ,         ,12.90    ,14.88    ,         ,         ,13.769   ,13.700   ,12.946   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27,   0
957 ,PNG 342.9-02.0,PN Pe 1-8                          ,PN ,256.59371 -44.21928                ,259.72954 -21.25679                ,342.95461 -02.04831                ,                ,         ,-1.0        ,         ,         ,14.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  35,   0
958 ,PNG 342.9-04.9,WRAY 16-261                        ,PN ,259.88542 -45.88750                ,262.38473 -22.71523                ,342.96417 -04.90981                ,                ,         ,-19         ,         ,         ,14.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33,   0
959 ,PNG 343.0-01.7,ESO 278-1                          ,PN ,256.4095 -43.9384                  ,259.5584 -20.9905                  ,343.0990 -01.7734                  ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  16,   0
960 ,PNG 343.3-00.6,PN HaTr 5                          ,PN ,255.366600 -43.098644              ,258.661824 -20.233614              ,343.304955 -00.662249              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  17,   0
961 ,PNG 343.4+11.9,PN H 1-1                           ,Em*,243.3674036953100 -34.5942744287700,247.7275149779846 -13.1914661147921,343.4236667175533 +11.9491225300233,  -3.994 -4.691 ,0.0503   ,67          ,         ,10.72    ,9.61     ,         ,17.062868,         ,15.216   ,15.197   ,14.570   ,         ,         ,         ,         ,         ,               ,                           ,0.040 0.040          ,0       ,0        ,0        ,  54,   0
962 ,PNG 343.5-07.8,PN PC 17                           ,PN ,263.9238922238000 -46.9970203563000,265.4795978416345 -23.6530228822732,343.5657323190143 -07.8449841779763,  -1.388 -3.798 ,0.1843   ,-142        ,         ,12.9     ,13.30    ,         ,15.226563,         ,         ,         ,         ,         ,         ,         ,         ,         ,wels           ,                           ,0.083 0.083          ,0       ,0        ,0        ,  43,   0
963 ,PNG 343.6+03.7,PN SuWt 3                          ,PN ,251.100525 -40.055722              ,254.923910 -17.600450              ,343.639365 +03.733418              ,                ,         ,-26         ,         ,20       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27,   0
964 ,PNG 343.9+00.8,PN H 1-5                           ,PN ,254.3489766449200 -41.6328378436300,257.6973488058355 -18.8596530936342,343.9918219253169 +00.8350947536274,   -2.702 0.275 ,         ,            ,         ,         ,15.00    ,         ,20.065437,         ,12.292   ,11.791   ,10.440   ,         ,         ,         ,         ,         ,               ,                           ,1.100 1.100          ,0       ,0        ,0        ,  42,   0
965 ,PNG 344.2+04.7,Hen 2-178                          ,PN ,250.6395553924200 -38.9111499492600,254.3919866934142 -16.5150807284290,344.2749613151511 +04.7506948053790,  -2.174 -4.068 ,0.3037   ,-142        ,         ,15.48    ,13.95    ,14.23    ,13.704606,         ,10.748   ,9.874    ,9.590    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  42,   0
966 ,PNG 344.2-01.2,PN H 1-6                           ,PN ,256.7461782999000 -42.6856869313300,259.6868289621843 -19.7197357984430,344.2469692990923 -01.2144470134412,   6.942 -0.756 ,0.7078   ,-51.0       ,         ,         ,15.00    ,         ,18.598709,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31,   0
967 ,PNG 344.4+02.8,ESO 332-4                          ,PN ,252.889896 -40.048892              ,256.347207 -17.417097              ,344.527866 +02.689822              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  25,   0
968 ,PNG 344.4-06.1,WRAY 16-278                        ,PN ,262.5161699323100 -45.3807555199300,264.3339362121236 -22.0885469410005,344.4152301168211 -06.1565294042776,  -3.857 -6.068 ,0.1699   ,-35         ,         ,         ,15.70    ,         ,16.622122,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  16,   0
969 ,PNG 344.8+03.4,ESO 332-2                          ,PN ,252.38687 -39.35253                ,255.85496 -16.77419                ,344.81770 +03.43208                ,                ,         ,-131        ,         ,         ,         ,         ,         ,         ,16.190   ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  29,   0
970 ,PNG 345.0+03.4,PN Vd 4                            ,PN ,252.6056282598600 -39.1386376258600,256.0025256177768 -16.5408144158912,345.0909697735269 +03.4383995054777,                ,         ,32          ,         ,         ,15.50    ,         ,17.214203,         ,14.324   ,13.859   ,12.568   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33,   0
971 ,PNG 345.0+04.3,ESO 332-1                          ,PN ,251.6880989120700 -38.6161208078600,255.1950729832191 -16.1133025296434,345.0331703501312 +04.3215141840852,  -4.826 -2.344 ,0.0915   ,15          ,         ,12.5     ,         ,         ,14.594520,         ,13.163   ,12.900   ,12.551   ,         ,         ,         ,         ,         ,Be             ,                           ,                     ,0       ,0        ,0        ,  33,   0
972 ,PNG 345.0-04.9,PN Cn 1-3                          ,PN ,261.5513114917300 -44.1904200479100,263.5233374086148 -20.9408886114687,345.0369698201308 -04.9306223066484,  -1.449 -1.697 ,         ,-80         ,         ,12.55    ,12.30    ,13.26    ,13.566432,         ,11.797   ,11.781   ,11.009   ,         ,         ,         ,         ,         ,wels?          ,                           ,                     ,0       ,0        ,0        ,  44,   0
973 ,PNG 345.2-01.2,PN H 1-7                           ,PN ,257.6140930042200 -41.8803868148900,260.2843539152914 -18.8579252613157,345.2765768926903 -01.2488543884171,  -0.290 -3.786 ,0.9584   ,            ,         ,15.028   ,13.421   ,14.078   ,16.975039,         ,         ,         ,10.386   ,         ,13.697   ,12.626   ,13.288   ,         ,               ,                           ,                     ,0       ,0        ,0        ,  47,   0
