seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
44  ,PNG 001.8-03.8,PN ShWi 7                          ,PN ,271.273037 -29.337742              ,271.115669 -05.903375              ,001.795683 -03.875410              ,                ,         ,-222        ,         ,         ,         ,         ,         ,         ,         ,         ,13.02    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  23,   2
45  ,PNG 002.0-02.0,PN H 1-45                          ,Mi*,269.5911095151799 -28.2478319701800,269.6385398311935 -04.8090483823973,002.0186238679944 -02.0558456307416,  -5.107 -3.327 ,0.9484   ,-19.2       ,         ,         ,15.602   ,         ,14.348423,12.494   ,10.518   ,8.399    ,6.697    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  67,   0
46  ,PNG 002.0-06.2,PN M 2-33                          ,PN ,273.7773476365500 -30.2592403365500,273.2856743937372 -06.8630159600286,002.0229251233023 -06.2249374779586,  -0.062 -6.026 ,0.2414   ,-119        ,         ,         ,         ,14.61    ,14.738587,14.03    ,13.695   ,13.634   ,13.176   ,         ,         ,         ,         ,         ,O5f(H)         ,                           ,0.067 0.067          ,0       ,0        ,0        , 101,   0
47  ,PNG 002.0-13.4,IC 4776                            ,PN ,281.461271 -33.342811              ,279.712891 -10.289149              ,002.100240 -13.443614              ,      -7.9 -2.0 ,         ,18.9        ,         ,11.98    ,10.62    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC]pec        ,                           ,0.117 0.117          ,0       ,0        ,0        , 193,   1
48  ,PNG 002.1+03.3,PN PBOZ 24                         ,PN ,264.4630993804600 -25.3459604393800,264.9944571750810 -02.0028203260273,002.1400705496587 +03.3614577782817,  -2.458 -5.760 ,         ,            ,         ,         ,         ,         ,19.807486,         ,15.614   ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  14,   1
49  ,PNG 002.1-02.2,PN M 3-20                          ,PN ,269.83063 -28.23006                ,269.85025 -04.79085                ,002.13918 -02.23000                ,                ,         ,24.3        ,         ,         ,14.80    ,         ,         ,         ,13.674   ,13.512   ,12.756   ,         ,         ,         ,         ,         ,Of             ,                           ,0.067 0.067          ,0       ,0        ,0        ,  78,   0
50  ,PNG 002.1-04.2,PN H 1-54                          ,PN ,271.7803305253900 -29.2183257736900,271.5617248605189 -05.7886800453918,002.1153160784229 -04.2046497981062,  -5.554 -2.395 ,0.3487   ,-151        ,         ,         ,13.90    ,         ,14.953106,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.033 0.033          ,0       ,0        ,0        ,  99,   0
51  ,PNG 002.2+00.5,Terz N 2337                        ,PN ,267.188633 -26.724667              ,267.484962 -03.309911              ,002.250524 +00.553376              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.450 0.450          ,0       ,0        ,0        ,  13,   0
52  ,PNG 002.2-02.5,PN KFL 2                           ,PN ,270.2496923062200 -28.2721460941000,270.2206972926122 -04.8330407386816,002.2856862670141 -02.5714845411047,  -3.304 -6.151 ,0.1537   ,-80.3       ,         ,         ,         ,         ,16.379927,         ,13.642   ,12.886   ,12.605   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  25,   0
53  ,PNG 002.2-02.7,PN M 2-23                          ,PN ,270.4276721045100 -28.4289214703900,270.3775354635025 -04.9901852957316,002.2265537330740 -02.7850805871868,                ,         ,186.7       ,         ,         ,13.00    ,         ,14.203851,         ,12.131   ,12.100   ,11.342   ,         ,         ,         ,         ,         ,               ,                           ,0.147 0.147          ,0       ,0        ,0        , 115,   0
