# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Jul  3 13:53:27 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0152 0.01508 9.00000 1.0192395449 2.4768557549    1.019 -0.049  3.7657  4.510    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -6e-14      0.00 7.176e-01 2.675e-01 2.639e-03 7.207e-04 6.548e-03 -1.000 1.487e-02 4.892 3.754 3.448 3.401 3.383 3.404 3.395 3.378 3.109 3.198 3.253 3.384 3.405 3.418 3.232
0.0152 0.01508 9.00000 1.0499999523 2.4828116894    1.049  0.016  3.7734  4.488    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.73e-14      0.00 7.188e-01 2.664e-01 2.629e-03 7.181e-04 6.524e-03 -1.000 1.479e-02 4.729 3.629 3.341 3.298 3.282 3.299 3.291 3.277 3.051 3.124 3.156 3.283 3.300 3.310 3.154
0.0152 0.01508 9.00000 1.1000000238 2.4916803837    1.099  0.119  3.7848  4.451    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.03e-14      0.00 7.219e-01 2.634e-01 2.604e-03 7.114e-04 6.464e-03 -1.000 1.467e-02 4.472 3.430 3.166 3.128 3.115 3.127 3.120 3.110 2.948 2.998 2.995 3.116 3.128 3.134 3.021
0.0152 0.01508 9.00000 1.1228656769 2.4954347610    1.122  0.165  3.7897  4.434    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.65e-14      0.00 7.236e-01 2.618e-01 2.591e-03 7.078e-04 6.432e-03 -1.000 1.461e-02 4.357 3.340 3.086 3.050 3.038 3.047 3.042 3.033 2.897 2.937 2.921 3.038 3.048 3.052 2.958
0.0152 0.01508 9.00000 1.1499999762 2.4996678829    1.149  0.218  3.7952  4.413    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.45e-14      0.00 7.257e-01 2.597e-01 2.574e-03 7.034e-04 6.393e-03 -1.000 1.454e-02 4.224 3.236 2.993 2.959 2.948 2.955 2.950 2.943 2.838 2.867 2.833 2.948 2.956 2.957 2.884
0.0152 0.01508 9.00000 1.2000000477 2.5068950653    1.199  0.314  3.8050  4.375    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.258e-01 2.596e-01 2.581e-03 7.056e-04 6.414e-03 -1.000 1.457e-02 3.984 3.048 2.824 2.794 2.784 2.787 2.784 2.779 2.728 2.738 2.675 2.784 2.788 2.785 2.749
0.0152 0.01508 9.00000 1.2500000000 2.5134611130    1.250  0.405  3.8142  4.338    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-13      0.00 7.260e-01 2.594e-01 2.581e-03 7.056e-04 6.415e-03 -1.000 1.458e-02 3.756 2.869 2.663 2.636 2.627 2.628 2.626 2.622 2.616 2.609 2.523 2.628 2.628 2.621 2.616
0.0152 0.01508 9.00000 1.2999999523 2.5194499493    1.300  0.492  3.8228  4.303    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-13      0.00 7.263e-01 2.591e-01 2.579e-03 7.050e-04 6.409e-03 -1.000 1.460e-02 3.541 2.698 2.510 2.484 2.476 2.476 2.474 2.471 2.466 2.460 2.374 2.477 2.476 2.470 2.466
0.0152 0.01508 9.00000 1.3080345392 2.5203633308    1.308  0.505  3.8243  4.298    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-13      0.00 7.263e-01 2.591e-01 2.579e-03 7.051e-04 6.411e-03 -1.000 1.459e-02 3.507 2.671 2.487 2.461 2.453 2.453 2.451 2.448 2.443 2.437 2.351 2.454 2.453 2.448 2.443
0.0152 0.01508 9.00000 1.3500001431 2.5249314308    1.350  0.574  3.8315  4.272    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-13      0.00 7.258e-01 2.596e-01 2.583e-03 7.062e-04 6.420e-03 -1.000 1.458e-02 3.335 2.537 2.367 2.342 2.335 2.333 2.332 2.330 2.326 2.320 2.235 2.335 2.334 2.330 2.326
0.0152 0.01508 9.00000 1.4000000954 2.5299651623    1.400  0.652  3.8402  4.245    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-13      0.00 7.258e-01 2.596e-01 2.582e-03 7.058e-04 6.416e-03 -1.000 1.460e-02 3.139 2.387 2.235 2.211 2.205 2.203 2.202 2.201 2.197 2.192 2.107 2.205 2.203 2.200 2.197
0.0152 0.01508 9.00000 1.4404820204 2.5337476730    1.441  0.714  3.8479  4.227    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-13      0.00 7.261e-01 2.593e-01 2.580e-03 7.052e-04 6.411e-03 -1.000 1.462e-02 2.986 2.275 2.139 2.115 2.110 2.108 2.107 2.106 2.103 2.099 2.014 2.110 2.108 2.106 2.103
0.0152 0.01508 9.00000 1.4500000477 2.5346016884    1.450  0.728  3.8497  4.222    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-13      0.00 7.261e-01 2.592e-01 2.579e-03 7.051e-04 6.410e-03 -1.000 1.463e-02 2.950 2.249 2.116 2.093 2.087 2.085 2.085 2.084 2.081 2.077 1.992 2.088 2.086 2.084 2.081
0.0152 0.01508 9.00000 1.4922132492 2.5382392406    1.492  0.789  3.8580  4.206    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-13      0.00 7.264e-01 2.590e-01 2.577e-03 7.046e-04 6.405e-03 -1.000 1.459e-02 2.797 2.141 2.024 2.001 1.996 1.994 1.994 1.993 1.991 1.988 1.903 1.997 1.994 1.993 1.991
