 #  ,typed ident ,            identifier             ,         typ          ,                                                                  all types                                                                  ,     coord1 (ICRS|J2000/2000)      ,       pm       ,   plx   ,   radvel   ,  Mag B  ,  Mag V  ,  Mag I  ,  spec. type   ,        morph. type        ,      ang. size      ,#parents,#children,#siblings,#bib
1227,PK 033-02.2 ,CBSS 1                             ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,285.067221 -00.242386              ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  10
1228,PK 068+14.1 ,PN Sp 4-1                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,285.1106085020600 +38.3520222505600,  -0.968 -3.036 ,0.0902   ,            ,         ,         ,         ,O?             ,                           ,                     ,0       ,0        ,0        ,  34
1229,PK 032-03.1 ,PN K 3-18                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,285.145117 -02.199431              ,                ,         ,            ,         ,         ,15.30    ,[WC9]          ,                           ,0.067 0.067          ,0       ,0        ,0        ,  47
1230,PK 017-10.1 ,PN A66 51                          ,PlanetaryNeb          ,HotSubdwarf|PlanetaryNeb|Variable*|Star|Galaxy|Infrared                                                                                      ,285.2558007971200 -18.2042560153400,   7.428 -6.848 ,0.552    ,3           ,15.30    ,15.42    ,         ,O(H)3-5Vz      ,                           ,1.117 1.117          ,0       ,0        ,0        ,  66
1231,PK 041+01.1 ,IRAS 18586+0821                    ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Infrared|ISM|PlanetaryNeb_Candidate|Radio|YSO_Candidate                                                       ,285.2738449097700 +08.4266474710500,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13
1232,PK 023-07.1 ,PN MaC 1-16                        ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,285.340687 -11.972219              ,                ,         ,54          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  15
1233,PK 032-02.2 ,PN K 3-19                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,285.402396 -01.318847              ,                ,         ,3.5         ,         ,         ,         ,               ,                           ,0.10000000 0.02677283,0       ,0        ,0        ,  40
1234,PK 036-01.1 ,SH 2-71                            ,PlanetaryNeb          ,PlanetaryNeb|EmObj|Variable*|PlanetaryNeb|EmLine*|HIIReg|EmObj|Star|Infrared|ISM|Radio                                                       ,285.5011874264900 +02.1530492309600,  -0.776 -3.491 ,0.6248   ,24.7        ,14.69    ,14.00    ,         ,A7V-F0V        ,                           ,1.660 1.660          ,0       ,0        ,0        , 128
1235,PK 032-03.2 ,PN K 3-20                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,285.5423252914700 -01.8126126711500,  -3.963 -5.368 ,0.1185   ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31
1236,PK 014-11.1 ,PN SaWe 4                          ,PlanetaryNeb          ,PlanetaryNeb                                                                                                                                 ,285.5671 -21.4475                  ,                ,         ,20          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13
